başvuru_metni,öncelik_skoru
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",9
Şehir dışında bir sağlık kongresine katılmak için geldim.,9
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,9
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,9
Tıp kongresi için şehirde bulunuyorum.,9
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",9
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Tıp kongresi için şehirde bulunuyorum.,9
Araştırma projemin sunumunu yapacağım.,9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
Şehir dışında bir sağlık kongresine katılmak için geldim.,9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Araştırma projemin sunumunu yapacağım.,9
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Şehir dışında bir sağlık kongresine katılmak için geldim.,9
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Akademik konferansa katılacağım.,9
Akademik konferansa katılacağım.,9
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",9
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",9
Akademik konferansa katılacağım.,9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
Akademik konferansa katılacağım.,9
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,9
Araştırma projemin sunumunu yapacağım.,9
"TÜBİTAK proje yarışmasına katılacağım, yurtta kalabilir miyim?",9
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",9
Şehir dışında bir sağlık kongresine katılmak için geldim.,9
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,9
Akademik konferansa katılacağım.,9
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
Tıp kongresi için şehirde bulunuyorum.,9
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",9
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
Akademik konferansa katılacağım.,9
Araştırma projemin sunumunu yapacağım.,10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
Araştırma projemin sunumunu yapacağım.,10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
Araştırma projemin sunumunu yapacağım.,10
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
Tıp kongresi için şehirde bulunuyorum.,10
"TÜBİTAK proje yarışmasına katılacağım, yurtta kalabilir miyim?",10
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
Tıp kongresi için şehirde bulunuyorum.,10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
Akademik konferansa katılacağım.,10
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",10
Araştırma projemin sunumunu yapacağım.,10
Akademik konferansa katılacağım.,10
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",10
Akademik konferansa katılacağım.,10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",10
Akademik konferansa katılacağım.,10
Tıp kongresi için şehirde bulunuyorum.,10
Araştırma projemin sunumunu yapacağım.,10
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
Akademik konferansa katılacağım.,10
Araştırma projemin sunumunu yapacağım.,10
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",10
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",10
Araştırma projemin sunumunu yapacağım.,10
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",10
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
Tıp kongresi için şehirde bulunuyorum.,10
Araştırma projemin sunumunu yapacağım.,10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
Tıp kongresi için şehirde bulunuyorum.,10
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,10
Tıp kongresi için şehirde bulunuyorum.,10
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
Akademik konferansa katılacağım.,10
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,10
Araştırma projemin sunumunu yapacağım.,10
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
Araştırma projemin sunumunu yapacağım.,10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",10
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",10
Tıp kongresi için şehirde bulunuyorum.,10
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,10
"TÜBİTAK proje yarışmasına katılacağım, yurtta kalabilir miyim?",10
Tıp kongresi için şehirde bulunuyorum.,10
Akademik konferansa katılacağım.,10
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
Akademik konferansa katılacağım.,10
Tıp kongresi için şehirde bulunuyorum.,10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,10
Araştırma projemin sunumunu yapacağım.,10
Akademik konferansa katılacağım.,10
Şehir dışında bir sağlık kongresine katılmak için geldim.,10
Tıp kongresi için şehirde bulunuyorum.,10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",10
"TÜBİTAK proje yarışmasına katılacağım, yurtta kalabilir miyim?",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",10
"TÜBİTAK proje yarışmasına katılacağım, yurtta kalabilir miyim?",10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",10
"TÜBİTAK proje yarışmasına katılacağım, yurtta kalabilir miyim?",10
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,10
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",10
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",10
